id,대학,모집단위,전형,날짜,시작,종료,입실,고사장,권역,수능최저,최저충족,선호도,메모
K1,건국대,국제무역학과,논술100% 100분,2026-11-21,09:20,11:00,,본교 광진 캠퍼스,서울광진,Y,?,4,2합5·한국사5 / 작년 동일 시간대 응시 경험 있음
K2,성균관대,경영학과,논술100% 100분,2026-11-21,13:00,14:40,12:30,인문사회과학캠퍼스,서울종로,Y,?,5,3합6·한국사5 / 모집 20명
K3,고려대,식품자원경제학과,인문사회통합형 80분,2026-11-22,13:00,14:20,12:30,본교 안암 캠퍼스,서울성북,Y,?,4,4합8·한국사4 / 모집 5명
K4,동국대,경영대학(광역),논술70+교과20+출결10,2026-11-22,13:00,14:40,,본교 필동 캠퍼스,서울중구,Y,?,4,2합5·한국사4 / 모집 37명
K5,경희대,Hospitality경영학과,통합형논술 120분,2026-11-22,15:00,17:00,,본교 서울 캠퍼스,서울동대문,Y,?,5,2합5·한국사5 / 모집 6명
K6,서강대,경영학부,논술 100분,2026-11-22,19:00,20:40,18:30,본교 신수동 캠퍼스,서울마포,Y,?,4,최저 기준 모집요강 재확인 필요
K7,한국외대,국제통상학과(글로벌),논술100% 90분,2026-11-28,15:00,16:30,,글로벌캠퍼스(용인) 추정,경기용인,Y,?,3,2합4·한국사 미반영 / 고사장 위치 반드시 확인
K8,한양대,관광학부,인문논술 1문항 90분,2026-11-28,17:00,18:30,,본교 행당 캠퍼스,서울성동,Y,?,5,3합7·한국사 미반영 / 모집 4명
K9,중앙대,국제물류학과,언어논술2+수리논술1 120분,2026-11-29,10:00,12:00,09:20,본교 흑석 캠퍼스,서울동작,Y,?,4,3합6·한국사4 / 입실 시험 40분 전
K10,한국외대,경영학부(서울),논술100% 90분,2026-11-29,15:00,16:30,,서울캠퍼스(이문동),서울동대문,Y,?,4,K7 대신 선택 가능 / 모집 27명
