id,대학,모집단위,전형,날짜,시작,종료,고사장,권역,수능최저,최저충족,선호도,메모
C1,한빛대,미디어커뮤니케이션,논술우수자,2026-11-21,14:00,16:00,본교 인문관,서울성북,Y,Y,5,1지망
C2,가온대,경영학부,논술전형,2026-11-21,15:00,17:00,본교 경상관,서울관악,Y,?,4,C1과 시간 겹침 예상
C3,도담대,자유전공,논술우수자,2026-11-21,09:00,11:00,본교 학생회관,서울마포,N,Y,4,오전 시험
C4,이룸대,미디어학과,논술전형,2026-11-22,10:00,12:00,본교 제2공학관,경기수원,N,Y,4,경기권
C5,해솔대,국어국문,논술우수자,2026-11-22,13:00,15:00,본교 인문관,서울성북,Y,Y,4,C4 직후·이동 빠듯
C6,누리대,사회과학,논술전형,2026-11-28,14:00,16:00,본교 사회관,대전유성,Y,Y,3,지방 이동
C7,다온대,경제학부,논술우수자,2026-11-29,10:00,12:00,본교 상경관,서울서초,Y,?,3,
C8,여명대,문예창작,논술전형,2026-12-05,14:00,16:00,본교 예술관,서울광진,N,Y,5,실질 1지망
C9,별빛대,미디어영상,수능전논술,2026-10-03,14:00,16:00,본교 예술관,서울성북,N,Y,4,수능 전 논술
C10,강산대,경영학부,논술전형,2026-11-29,14:00,16:00,본교 본관,서울종로,Y,N,3,최저 미충족 예상
C11,새벽대,영화영상학과,실기+면접,2026-12-06,10:00,13:00,본교 예술대,서울노원,N,Y,4,실기 3시간
C12,온새미대,연극영화,논술+실기,2026-12-05,09:00,11:00,본교 예술관,경기용인,N,?,3,C8과 같은 날 오전
